sensor_A,sensor_B,correlation
sensor_18,sensor_8,0.9999988486817869
sensor_13,sensor_19,0.9999982383995575
sensor_12,sensor_7,0.9999950025217963
sensor_20,sensor_21,0.9999267031221485
sensor_20,sensor_7,0.9995114619537829
sensor_21,sensor_7,0.9995106077747212
sensor_12,sensor_20,0.9994794350240296
sensor_12,sensor_21,0.9994785206178649
sensor_17,sensor_3,0.9989435482959699
sensor_17,sensor_9,0.9983700360620766
sensor_3,sensor_9,0.9983247942917233
sensor_5,sensor_6,0.9980920377700266
sensor_21,sensor_6,0.9980375483178359
sensor_20,sensor_6,0.9980333258194887
sensor_6,sensor_7,0.9965003114970502
sensor_12,sensor_6,0.996411156491585
sensor_17,sensor_4,0.9938849724498952
sensor_3,sensor_4,0.993401005754715
sensor_21,sensor_5,0.9925701750184514
sensor_20,sensor_5,0.9925621266161273
sensor_1,sensor_5,0.9925495941236793
sensor_1,sensor_6,0.9924467972872284
sensor_4,sensor_9,0.9918477338888516
sensor_17,sensor_2,0.9897279773310619
sensor_5,sensor_7,0.9895615595530216
sensor_12,sensor_5,0.9894078234635182
sensor_2,sensor_3,0.9891414728111781
sensor_2,sensor_4,0.9888643398644661
sensor_1,sensor_21,0.9878641554224176
sensor_1,sensor_20,0.9878559613212446
sensor_2,sensor_9,0.9870728291946653
sensor_1,sensor_7,0.9853508936224525
sensor_1,sensor_12,0.9852046051155761
sensor_12,sensor_2,0.9824423884463102
sensor_2,sensor_7,0.9823338452639703
sensor_2,sensor_20,0.9791783862987202
sensor_2,sensor_21,0.9791721295431896
sensor_10,sensor_4,0.9770418655886346
sensor_15,sensor_8,0.9763173248750291
sensor_15,sensor_18,0.9762982549512804
sensor_12,sensor_4,0.9755338637923976
sensor_11,sensor_9,0.975421583706414
sensor_4,sensor_7,0.9753062523132311
sensor_11,sensor_3,0.9734792262949793
sensor_11,sensor_8,0.973187575776921
sensor_11,sensor_18,0.9730324034901999
sensor_11,sensor_17,0.9727946728190657
sensor_20,sensor_4,0.9697525432797698
sensor_21,sensor_4,0.9697423657770254
sensor_11,sensor_15,0.9696251503308699
sensor_2,sensor_6,0.9694690913245826
sensor_1,sensor_2,0.9694074550571913
sensor_12,sensor_17,0.9601212393219101
sensor_17,sensor_7,0.9598593617104682
sensor_10,sensor_17,0.9592265676554026
sensor_10,sensor_9,0.9591423865538156
sensor_12,sensor_3,0.9588029137226911
sensor_10,sensor_3,0.9587260764911646
sensor_3,sensor_7,0.9585386023729695
sensor_11,sensor_4,0.9579092396278799
sensor_14,sensor_15,0.9561123762976644
sensor_4,sensor_6,0.9557903560350676
sensor_12,sensor_9,0.9554811789591824
sensor_7,sensor_9,0.9552049814515822
sensor_2,sensor_5,0.9544721116347555
sensor_17,sensor_20,0.9534698734346894
sensor_17,sensor_21,0.9534534612541532
sensor_10,sensor_12,0.9531826420142308
sensor_10,sensor_7,0.952924517795897
sensor_20,sensor_3,0.9521012410906313
sensor_21,sensor_3,0.9520868376347409
sensor_10,sensor_16,0.9490572566548557
sensor_20,sensor_9,0.9484570798103374
sensor_21,sensor_9,0.9484408925637859
sensor_10,sensor_20,0.9478088524558841
sensor_10,sensor_21,0.9477881766226176
sensor_10,sensor_2,0.9457625619130378
sensor_1,sensor_4,0.9434558394213653
sensor_4,sensor_5,0.9368640125862547
sensor_17,sensor_6,0.9362179815999577
sensor_3,sensor_6,0.9346042981592175
sensor_11,sensor_2,0.932674595993169
sensor_10,sensor_11,0.9319648831121364
sensor_14,sensor_8,0.9317270993003827
sensor_14,sensor_18,0.931665781991628
sensor_10,sensor_6,0.9307005325272243
sensor_6,sensor_9,0.9299323366209583
sensor_1,sensor_17,0.9281509148575323
sensor_1,sensor_3,0.9265886219865421
sensor_1,sensor_9,0.9214885901570644
sensor_8,sensor_9,0.9201903225390593
sensor_18,sensor_9,0.9199184505929588
sensor_3,sensor_8,0.9149617292118096
sensor_15,sensor_9,0.9148075619588377
sensor_18,sensor_3,0.914698092352771
sensor_17,sensor_5,0.9136219716215416
sensor_17,sensor_8,0.9133293035520629
sensor_17,sensor_18,0.9130627986803564
sensor_16,sensor_4,0.9123347281302081
sensor_10,sensor_5,0.9117876802528646
sensor_3,sensor_5,0.9117830424373223
sensor_12,sensor_16,0.9116238672289051
sensor_16,sensor_7,0.911508159086613
sensor_16,sensor_20,0.9104645425704708
sensor_16,sensor_21,0.9104482648010901
sensor_15,sensor_3,0.907533882337319
sensor_5,sensor_9,0.9063312007878661
sensor_15,sensor_17,0.9062229821021425
sensor_13,sensor_14,0.90457154354666
sensor_14,sensor_19,0.9043650197621921
sensor_16,sensor_6,0.9015830203427339
sensor_1,sensor_10,0.9013982635607488
